+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                                long                                                                                               |
+--------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+--------+---------------------+
| symbol       | adg_weighted_per_exposure | hrs_stuck_max | pa_distance_mean | pa_distance_std | loss_profit_ratio | eqbal_ratio_mean_of_10_worst | eqbal_ratio_std | n_days | score               |
| AUDIOUSDT    | 0.001532                  | 73.47         | 0.009378         | 0.01371         | 0.1658            | 0.8533                       | 0.007738        | 589.83 | -56012.50153226621  |
| 1000XECUSDT  | 0.001532                  | 55.05         | 0.007225         | 0.01364         | 0.2859            | 0.91                         | 0.008231        | 560.83 | -56012.501531735164 |
| COTIUSDT     | 0.001524                  | 55.65         | 0.009987         | 0.01866         | 0.2968            | 0.8319                       | 0.009627        | 699.96 | -56012.50152431888  |
| AAVEUSDT     | 0.001518                  | 74.4          | 0.01083          | 0.0147          | 0.1894            | 0.8704                       | 0.008718        | 699.96 | -56012.50151785869  |
| SKLUSDT      | 0.001507                  | 79.85         | 0.01205          | 0.01765         | 0.1724            | 0.8591                       | 0.009167        | 699.96 | -56012.5015065833   |
| ADAUSDT      | 0.001499                  | 67.9          | 0.007184         | 0.007335        | 0.08026           | 0.934                        | 0.005939        | 699.96 | -56012.50149925206  |
| COMPUSDT     | 0.001489                  | 54.15         | 0.01092          | 0.01425         | 0.1442            | 0.901                        | 0.009171        | 699.96 | -56012.501488528316 |
| ATOMUSDT     | 0.001409                  | 79.78         | 0.01073          | 0.01306         | 0.1563            | 0.8807                       | 0.009222        | 699.96 | -56012.501408528085 |
| DOTUSDT      | 0.001391                  | 75.3          | 0.008697         | 0.01544         | 0.2684            | 0.8654                       | 0.009379        | 699.96 | -56012.501391356054 |
| THETAUSDT    | 0.001363                  | 69.02         | 0.01291          | 0.01106         | 0.2786            | 0.8705                       | 0.005868        | 699.96 | -56012.50136262491  |
| CTKUSDT      | 0.001356                  | 62.8          | 0.008598         | 0.01455         | 0.2028            | 0.8233                       | 0.009854        | 699.96 | -56012.50135583132  |
| ALICEUSDT    | 0.001353                  | 94.92         | 0.01548          | 0.01294         | 0.2015            | 0.8427                       | 0.007752        | 699.96 | -56012.501353117    |
| IOTAUSDT     | 0.001342                  | 53.05         | 0.007358         | 0.01482         | 0.2101            | 0.8064                       | 0.009445        | 699.96 | -56012.501342460775 |
| GMTUSDT      | 0.001335                  | 90.45         | 0.01138          | 0.009831        | 0.2284            | 0.9336                       | 0.002982        | 381.79 | -56012.501334877874 |
| CELRUSDT     | 0.001248                  | 90.68         | 0.01706          | 0.01602         | 0.2476            | 0.7278                       | 0.009735        | 699.96 | -56012.50124776218  |
| MTLUSDT      | 0.001246                  | 84.77         | 0.01461          | 0.01743         | 0.1115            | 0.8295                       | 0.009477        | 699.96 | -56012.50124587781  |
| EOSUSDT      | 0.001243                  | 91.28         | 0.01032          | 0.01465         | 0.2467            | 0.8729                       | 0.00978         | 699.96 | -56012.50124268589  |
| UNIUSDT      | 0.001237                  | 80.3          | 0.01336          | 0.01607         | 0.2403            | 0.8273                       | 0.009689        | 699.96 | -56012.50123743736  |
| TOMOUSDT     | 0.001226                  | 95.58         | 0.01002          | 0.009337        | 0.1942            | 0.894                        | 0.003939        | 699.96 | -56012.5012260567   |
| DASHUSDT     | 0.001226                  | 53.32         | 0.01226          | 0.01545         | 0.2087            | 0.894                        | 0.009502        | 699.96 | -56012.501225921806 |
| DENTUSDT     | 0.001161                  | 57.85         | 0.007361         | 0.02147         | 0.2105            | 0.8291                       | 0.00874         | 699.96 | -56012.50116058909  |
| LINKUSDT     | 0.001158                  | 72.38         | 0.01128          | 0.01712         | 0.1937            | 0.8506                       | 0.009693        | 699.96 | -56012.501157799255 |
| SFPUSDT      | 0.001128                  | 65.85         | 0.01311          | 0.01353         | 0.1826            | 0.8784                       | 0.005082        | 699.96 | -56012.50112809798  |
| RSRUSDT      | 0.001119                  | 81.28         | 0.01459          | 0.01827         | 0.1477            | 0.858                        | 0.009387        | 699.96 | -56012.50111944492  |
| ALPHAUSDT    | 0.001109                  | 51.08         | 0.01194          | 0.01582         | 0.2387            | 0.8881                       | 0.00985         | 699.96 | -56012.501109369    |
| ZENUSDT      | 0.001109                  | 90.48         | 0.01522          | 0.01312         | 0.2821            | 0.8952                       | 0.006928        | 699.96 | -56012.50110882372  |
| IOSTUSDT     | 0.001095                  | 95.88         | 0.009609         | 0.01961         | 0.1612            | 0.7199                       | 0.009767        | 699.96 | -56012.5010954278   |
| LTCUSDT      | 0.001083                  | 71.62         | 0.01015          | 0.01285         | 0.2458            | 0.9064                       | 0.007418        | 699.96 | -56012.50108271974  |
| ZILUSDT      | 0.001081                  | 69.38         | 0.01212          | 0.01394         | 0.2225            | 0.8895                       | 0.007964        | 699.96 | -56012.50108136478  |
| OGNUSDT      | 0.001075                  | 54.43         | 0.01346          | 0.01932         | 0.2524            | 0.8808                       | 0.009949        | 699.96 | -56012.50107517015  |
| ZECUSDT      | 0.001014                  | 95.68         | 0.01373          | 0.01356         | 0.195             | 0.885                        | 0.008994        | 699.96 | -56012.5010139934   |
| DGBUSDT      | 0.00101                   | 65.7          | 0.01249          | 0.01909         | 0.1508            | 0.8491                       | 0.009824        | 699.96 | -56012.50100972976  |
| ONTUSDT      | 0.001008                  | 62.85         | 0.01062          | 0.01348         | 0.2565            | 0.8504                       | 0.009154        | 699.96 | -56012.501008043546 |
| BATUSDT      | 0.001003                  | 55.4          | 0.00996          | 0.0107          | 0.04925           | 0.9234                       | 0.005635        | 699.96 | -56012.50100262847  |
| ICXUSDT      | 0.001002                  | 75.78         | 0.01351          | 0.01706         | 0.1203            | 0.8473                       | 0.009951        | 699.96 | -56012.501002360485 |
| ETHUSDT      | 0.001001                  | 53.33         | 0.004383         | 0.006371        | 0.2405            | 0.9386                       | 0.003178        | 699.96 | -56012.501001008146 |
| ANTUSDT      | 0.001                     | 90.83         | 0.01088          | 0.009267        | 0.2595            | 0.9031                       | 0.00365         | 459.79 | -56012.5010004841   |
| NEOUSDT      | 0.000996                  | 90.35         | 0.01107          | 0.01574         | 0.1477            | 0.8442                       | 0.00888         | 699.96 | -56012.500996020055 |
| STORJUSDT    | 0.0009932                 | 72.8          | 0.008729         | 0.01502         | 0.1079            | 0.8141                       | 0.007084        | 699.96 | -56012.50099323667  |
| QTUMUSDT     | 0.0009701                 | 70.67         | 0.01175          | 0.01144         | 0.1733            | 0.8896                       | 0.00492         | 699.96 | -56012.50097013563  |
| GTCUSDT      | 0.000962                  | 90.48         | 0.01398          | 0.01107         | 0.01298           | 0.9021                       | 0.003245        | 658.83 | -56012.50096201453  |
| BELUSDT      | 0.0009602                 | 67.08         | 0.01419          | 0.01297         | 0.02502           | 0.9119                       | 0.004291        | 699.96 | -56012.5009602254   |
| BAKEUSDT     | 0.0009442                 | 85.02         | 0.01373          | 0.01268         | 0.1757            | 0.8231                       | 0.006264        | 681.67 | -56012.50094421051  |
| ENJUSDT      | 0.0009261                 | 94.22         | 0.01463          | 0.01861         | 0.1895            | 0.7576                       | 0.009713        | 699.96 | -56012.5009260557   |
| BALUSDT      | 0.0009258                 | 69.23         | 0.01096          | 0.01513         | 0.2816            | 0.8748                       | 0.008267        | 699.96 | -56012.500925771295 |
| CRVUSDT      | 0.0009189                 | 78.43         | 0.01524          | 0.01669         | 0.2443            | 0.8833                       | 0.009186        | 699.96 | -56012.500918874124 |
| IOTXUSDT     | 0.0009067                 | 95.38         | 0.01394          | 0.01524         | 0.221             | 0.8651                       | 0.008546        | 596.83 | -56012.50090674622  |
| LITUSDT      | 0.0009067                 | 84.55         | 0.01369          | 0.01349         | 0.1761            | 0.8871                       | 0.005825        | 699.96 | -56012.50090665041  |
| SXPUSDT      | 0.0008906                 | 95.78         | 0.01235          | 0.0121          | 0.2975            | 0.758                        | 0.00596         | 699.96 | -56012.500890550655 |
| XLMUSDT      | 0.0008844                 | 81.68         | 0.01113          | 0.02113         | 0.2507            | 0.8846                       | 0.009775        | 699.96 | -56012.5008843766   |
| XMRUSDT      | 0.000875                  | 94.82         | 0.008277         | 0.008629        | 0.2071            | 0.9157                       | 0.004563        | 699.96 | -56012.50087495847  |
| LINAUSDT     | 0.0008635                 | 81.92         | 0.0143           | 0.01349         | 0.05442           | 0.9102                       | 0.007258        | 699.96 | -56012.50086346235  |
| XEMUSDT      | 0.0008566                 | 78.62         | 0.01089          | 0.01144         | 0.1837            | 0.789                        | 0.006262        | 699.96 | -56012.50085658836  |
| BCHUSDT      | 0.0008559                 | 78.28         | 0.009047         | 0.007289        | 0.2686            | 0.9281                       | 0.003159        | 699.96 | -56012.50085589009  |
| XTZUSDT      | 0.0008537                 | 82.67         | 0.01034          | 0.01302         | 0.2557            | 0.8647                       | 0.007746        | 699.96 | -56012.50085370532  |
| LPTUSDT      | 0.0008406                 | 68.28         | 0.01991          | 0.01762         | 0.2142            | 0.8914                       | 0.006479        | 505.83 | -56012.50084058383  |
| FILUSDT      | 0.0008341                 | 90.48         | 0.0158           | 0.0161          | 0.2634            | 0.8318                       | 0.005808        | 699.96 | -56012.500834112594 |
| EGLDUSDT     | 0.000825                  | 73.48         | 0.01016          | 0.01063         | 0.2872            | 0.8915                       | 0.008183        | 699.96 | -56012.500824957504 |
| CHRUSDT      | 0.0008015                 | 80.92         | 0.01409          | 0.01829         | 0.08301           | 0.7135                       | 0.009925        | 699.96 | -56012.500801506016 |
| RUNEUSDT     | 0.0007832                 | 91.52         | 0.01441          | 0.0164          | 0.1929            | 0.8691                       | 0.009311        | 699.96 | -56012.500783249416 |
| KAVAUSDT     | 0.0007093                 | 89.27         | 0.01838          | 0.01882         | 0.2775            | 0.8278                       | 0.008132        | 699.96 | -56012.50070932944  |
| BNBUSDT      | 0.0006987                 | 73.05         | 0.004301         | 0.007167        | 0.2938            | 0.897                        | 0.003217        | 699.96 | -56012.50069869564  |
| BLZUSDT      | 0.0006957                 | 84.77         | 0.02284          | 0.02351         | 0.0               | 0.7611                       | 0.009785        | 699.96 | -56012.50069567225  |
| KNCUSDT      | 0.000673                  | 89.47         | 0.0161           | 0.01545         | 0.08051           | 0.8288                       | 0.00438         | 699.96 | -56012.500672989045 |
| BTCUSDT      | 0.000651                  | 80.13         | 0.008278         | 0.009013        | 0.2002            | 0.9408                       | 0.00559         | 699.96 | -56012.500651036986 |
| STMXUSDT     | 0.0006418                 | 89.67         | 0.01599          | 0.01747         | 0.1795            | 0.8283                       | 0.009667        | 699.96 | -56012.500641810344 |
| ZRXUSDT      | 0.0005817                 | 62.78         | 0.009486         | 0.01821         | 0.2695            | 0.8447                       | 0.009737        | 699.96 | -56012.500581747256 |
| TRBUSDT      | 0.0005413                 | 93.03         | 0.01831          | 0.01795         | 0.1926            | 0.8548                       | 0.005068        | 699.96 | -56012.50054126626  |
| FLMUSDT      | 0.0004183                 | 74.47         | 0.01685          | 0.01797         | 0.1704            | 0.8203                       | 0.00579         | 699.96 | -56012.500418307245 |
| CVCUSDT      | 0.0004045                 | 81.5          | 0.01026          | 0.012           | 0.142             | 0.8745                       | 0.007324        | 699.96 | -56012.50040448172  |
| TRXUSDT      | 0.0003255                 | 95.32         | 0.008341         | 0.006852        | 0.1666            | 0.885                        | 0.001731        | 699.96 | -56012.50032550565  |
| USDCUSDT     | 0.0002627                 | 5.75          | 0.01067          | 0.00197         | 0.0               | 0.9979                       | 0.001101        | 19.25  | -56012.500262667105 |
| SCUSDT       | 0.0002038                 | 81.85         | 0.01474          | 0.01831         | 0.0697            | 0.8646                       | 0.008368        | 699.96 | -56012.50020378464  |
| KLAYUSDT     | -0.006152                 | 27.2          | 0.004428         | 0.007164        | 0.9948            | 0.8561                       | 0.006951        | 535.83 | -49064.16933902213  |
+--------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+--------+---------------------+

+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                         short                                                                                          |
