+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                                long                                                                                               |
+--------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+--------+---------------------+
| symbol       | adg_weighted_per_exposure | hrs_stuck_max | pa_distance_mean | pa_distance_std | loss_profit_ratio | eqbal_ratio_mean_of_10_worst | eqbal_ratio_std | n_days | score               |
| XTZUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 717.0  | -18040.0 |
| BCHUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 717.0  | -18040.0 |
| GRTUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 717.0  | -18040.0 |
| IOSTUSDT     | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 717.0  | -18040.0 |
| ALPHAUSDT    | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 717.0  | -18040.0 |
| DGBUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 717.0  | -18040.0 |
| AVAXUSDT     | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 717.0  | -18040.0 |
| UNIUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 717.0  | -18040.0 |
| SFPUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 717.0  | -18040.0 |
| ADAUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 717.0  | -18040.0 |
| BELUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 717.0  | -18040.0 |
| QTUMUSDT     | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 717.0  | -18040.0 |
| XEMUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 717.0  | -18040.0 |
