+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                    long                                                                                    |
+-------------+---------------+-------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| symbol      | adg_w_per_exp | adg_per_exp | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days  | score          |
| ENJUSDT     | 0.000938      | 0.001461    | 50.5          | 0.01737      | 0.01901     | 0.1305         | 0.8788                 | 0.006616     | 956.71  | -57518.000938  |
| YFIUSDT     | 0.0009331     | 0.002243    | 48.4          | 0.01023      | 0.01272     | 0.1479         | 0.9036                 | 0.00322      | 985.71  | -57518.0009331 |
| NEARUSDT    | 0.0009313     | 0.00181     | 78.75         | 0.01307      | 0.01205     | 0.1128         | 0.9353                 | 0.002623     | 940.66  | -57518.0009313 |
| KSMUSDT     | 0.0008877     | 0.002829    | 53.65         | 0.009695     | 0.01064     | 0.1242         | 0.9277                 | 0.002474     | 941.71  | -57518.0008877 |
| COMPUSDT    | 0.0008821     | 0.001831    | 48.75         | 0.01225      | 0.01903     | 0.1161         | 0.891                  | 0.005841     | 1045.62 | -57518.0008821 |
| FTMUSDT     | 0.0008678     | 0.001676    | 64.18         | 0.01974      | 0.01933     | 0.06106        | 0.9134                 | 0.005601     | 961.71  | -57518.0008678 |
| AAVEUSDT    | 0.0008303     | 0.002434    | 44.07         | 0.01036      | 0.01112     | 0.1269         | 0.9191                 | 0.002826     | 939.71  | -57518.0008303 |
| XTZUSDT     | 0.0008259     | 0.00128     | 70.0          | 0.01538      | 0.01551     | 0.0289         | 0.9003                 | 0.003758     | 1192.66 | -57518.0008259 |
| RSRUSDT     | 0.0008251     | 0.001668    | 59.37         | 0.01811      | 0.01843     | 0.1002         | 0.8972                 | 0.004113     | 936.7   | -57518.0008251 |
| ZILUSDT     | 0.0007788     | 0.002347    | 69.37         | 0.01032      | 0.01235     | 0.1275         | 0.906                  | 0.002971     | 1059.62 | -57518.0007788 |
| C98USDT     | 0.0007758     | 0.001228    | 53.82         | 0.01175      | 0.01139     | 0.1432         | 0.9515                 | 0.002215     | 627.85  | -57518.0007758 |
| SFPUSDT     | 0.0007628     | 0.001327    | 56.62         | 0.01635      | 0.01786     | 0.1429         | 0.9111                 | 0.00412      | 808.71  | -57518.0007628 |
| FLOWUSDT    | 0.0007479     | 0.00135     | 72.67         | 0.01224      | 0.01065     | 0.1466         | 0.9638                 | 0.002413     | 457.85  | -57518.0007479 |
| SXPUSDT     | 0.0007277     | 0.001913    | 55.58         | 0.01508      | 0.01513     | 0.1137         | 0.9158                 | 0.003165     | 1026.62 | -57518.0007277 |
| IOTAUSDT    | 0.0007187     | 0.001523    | 60.87         | 0.01699      | 0.01941     | 0.06674        | 0.8927                 | 0.00667      | 1186.66 | -57518.0007187 |
| VETUSDT     | 0.000712      | 0.002404    | 46.23         | 0.009871     | 0.01138     | 0.1095         | 0.8763                 | 0.00284      | 1184.66 | -57518.000712  |
